Species,Habit binary,Habit,Cambial Variant type,Cambial Variant presence
Bunchosia_glandulifera,Self-supporting,Tree,RS,Absent
Bunchosia_maritima_AL,Self-supporting,Tree,RS,Absent
Bunchosia_montana_WC,Self-supporting,Tree,RS,Absent
Bunchosia_nitida,Self-supporting,Tree,RS,Absent
Bunchosia_polystachia,Self-supporting,Tree,RS,Absent
Dicella_nucifera,Climbing,Liana,IP,Present
Echinopterys_eglandulosa,Climbing,Climbing shrub,CR,Present
Echinopterys_setosa_WC,Self-supporting,Shrub,CR,Present
Heladena_multiflora,Climbing,Liana,WC,Present
Henleophytum_echinatum,Climbing,Liana,IP,Present
Hiptage_benghalensis,Climbing,Liana,RS,Absent
Malpighia_glabra,Self-supporting,Tree,RS,Absent
Niedenzuella_stannea,Climbing,Liana,PW+IP,Present
Thryallis_longifolia,Climbing,Climbing shrub,WC,Present
Tetrapterys_schiedeana,Climbing,Liana,RS,Absent
Tristellateia_australasiae,Climbing,Liana,PW+IP,Present
